Id in EU,id,Id di Riccardo,In zotero,EU selection,Title of the scientific publication,abstract,doi link,DOI,Year of publication,Type of scientific publication,Issue,Ack,Open access,Open Access Fee,Fee corrisposta da,container,Publisher,Authors,ISSN or eSSN,Title of the journal or equivalent,"Number, date",Place of publication,Relevant pages,Joint Public / Private publication,Peer-review,Research line
1,24,GMG2019,TRUE,TRUE,Factual and Counterfactual Explanations for Black Box Decision Making,"The rise of sophisticated machine learning models has brought accurate but obscure decision systems, which hide their logic, thus undermining transparency, trust, and the adoption of artificial intelligence (AI) in socially sensitive and safety-critical contexts. We introduce a local rule-based explanation method, providing faithful explanations of the decision made by a black box classifier on a specific instance. The proposed method first learns an interpretable, local classifier on a synthetic neighborhood of the instance under investigation, generated by a genetic algorithm. Then, it derives from the interpretable classifier an explanation consisting of a decision rule, explaining the factual reasons of the decision, and a set of counterfactuals, suggesting the changes in the instance features that would lead to a different outcome. Experimental results show that the proposed method outperforms existing approaches in terms of the quality of the explanations and of the accuracy in mimicking the black box.",https://dx.doi.org/10.1109/mis.2019.2957223,10.1109/MIS.2019.2957223,2021,journal-article,"ack ok, OA ok",TRUE,Gold,,,IEEE Intelligent Systems,Institute of Electrical and Electronics Engineers (IEEE),"Guidotti Riccardo, Monreale Anna, Giannotti Fosca, Pedreschi Dino, Ruggieri Salvatore, Turini Franco",1541-1672,IEEE Intelligent Systems,34(6) 03 December 2019,,14-23,NO,,"1,4"
2,23,SGM2021,TRUE,TRUE,GLocalX - From Local to Global Explanations of Black Box AI Models,"Artificial Intelligence (AI) has come to prominence as one of the major components of our society, with applications in most aspects of our lives. In this field, complex and highly nonlinear machine learning models such as ensemble models, deep neural networks, and Support Vector Machines have consistently shown remarkable accuracy in solving complex tasks. Although accurate, AI models often are “black boxes” which we are not able to understand. Relying on these models has a multifaceted impact and raises significant concerns about their transparency. Applications in sensitive and critical domains are a strong motivational factor in trying to understand the behavior of black boxes. We propose to address this issue by providing an interpretable layer on top of black box models by aggregating “local” explanations. We present GLocalX, a “local-first” model agnostic explanation method. Starting from local explanations expressed in form of local decision rules, GLocalX iteratively generalizes them into global explanations by hierarchically aggregating them. Our goal is to learn accurate yet simple interpretable models to emulate the given black box, and, if possible, replace it entirely. We validate GLocalX in a set of experiments in standard and constrained settings with limited or no access to either data or local explanations. Experiments show that GLocalX is able to accurately emulate several models with simple and small models, reaching state-of-the-art performance against natively global solutions. Our findings show how it is often possible to achieve a high level of both accuracy and comprehensibility of classification models, even in complex domains with high-dimensional data, without necessarily trading one property for the other. This is a key requirement for a trustworthy AI, necessary for adoption in high-stakes decision making applications.",https://dx.doi.org/10.1016/j.artint.2021.103457,10.1016/j.artint.2021.103457,2021,journal-article,"ack ok, OA ok",TRUE,Gold,,,Artificial Intelligence,Elsevier BV,"Setzu Mattia, Guidotti Riccardo, Monreale Anna, Turini Franco, Pedreschi Dino, Giannotti Fosca",0004-3702,Artificial Intelligence,29 May 2021,,,NO,YES,"1,4"
3,35,GMS2020,TRUE,TRUE,Explaining Any Time Series Classifier,"We present a method to explain the decisions of black box models for time series classification. The explanation consists of factual and counterfactual shapelet-based rules revealing the reasons for the classification, and of a set of exemplars and counter-exemplars highlighting similarities and differences with the time series under analysis. The proposed method first generates exemplar and counter-exemplar time series in the latent feature space and learns a local latent decision tree classifier. Then, it selects and decodes those respecting the decision rules explaining the decision. Finally, it learns on them a shapelet-tree that reveals the parts of the time series that must, and must not, be contained for getting the returned outcome from the black box. A wide experimentation shows that the proposed method provides faithful, meaningful and interpretable explanations.",https://dx.doi.org/10.1109/cogmi50398.2020.00029,10.1109/CogMI50398.2020.00029,2020,proceedings-article,"ack ok, no OA",TRUE,NO,,,2020 IEEE Second International Conference on Cognitive Machine Intelligence (CogMI),IEEE,"Guidotti Riccardo, Monreale Anna, Spinnato Francesco, Pedreschi Dino, Giannotti Fosca",,,2020,,,,,1
4,18,NPN2020,TRUE,FALSE,Prediction and Explanation of Privacy Risk on Mobility Data with Neural Networks,"The analysis of privacy risk for mobility data is a fundamental part of any privacy-aware process based on such data. Mobility data are highly sensitive. Therefore, the correct identification of the privacy risk before releasing the data to the public is of utmost importance. However, existing privacy risk assessment frameworks have high computational complexity. To tackle these issues, some recent work proposed a solution based on classification approaches to predict privacy risk using mobility features extracted from the data. In this paper, we propose an improvement of this approach by applying long short-term memory (LSTM) neural networks to predict the privacy risk directly from original mobility data. We empirically evaluate privacy risk on real data by applying our LSTM-based approach. Results show that our proposed method based on a LSTM network is effective in predicting the privacy risk with results in terms of F1 of up to 0.91. Moreover, to explain the predictions of our model, we employ a state-of-the-art explanation algorithm, Shap. We explore the resulting explanation, showing how it is possible to provide effective predictions while explaining them to the end-user.",https://dx.doi.org/10.1007/978-3-030-65965-3_34,10.1007/978-3-030-65965-3_34,2021,book-chapter,"ack ok, no OA",TRUE,NO,,,ECML PKDD 2020 Workshops,Springer International Publishing,"Naretto Francesca, Pellungrini Roberto, Nardini Franco Maria, Giannotti Fosca",1865-0929,ECML PKDD 2020 Workshops,02 February 2021,,,NO,YES,"4,5"
5,17,NPM2020,TRUE,FALSE,Predicting and Explaining Privacy Risk Exposure in Mobility Data,"Mobility data is a proxy of different social dynamics and its analysis enables a wide range of user services. Unfortunately, mobility data are very sensitive because the sharing of people’s whereabouts may arise serious privacy concerns. Existing frameworks for privacy risk assessment provide tools to identify and measure privacy risks, but they often (i) have high computational complexity; and (ii) are not able to provide users with a justification of the reported risks. In this paper, we propose expert, a new framework for the prediction and explanation of privacy risk on mobility data. We empirically evaluate privacy risk on real data, simulating a privacy attack with a state-of-the-art privacy risk assessment framework. We then extract individual mobility profiles from the data for predicting their risk. We compare the performance of several machine learning algorithms in order to identify the best approach for our task. Finally, we show how it is possible to explain privacy risk prediction on real data, using two algorithms: Shap, a feature importance-based method and Lore, a rule-based method. Overall, expert is able to provide a user with the privacy risk and an explanation of the risk itself. The experiments show excellent performance for the prediction task.",https://dx.doi.org/10.1007/978-3-030-61527-7_27,10.1007/978-3-030-61527-7_27,2021,book-chapter,"ack ok, no OA",TRUE,NO,,,Discovery Science,Springer International Publishing,"Naretto Francesca, Pellungrini Roberto, Monreale Anna, Nardini Franco Maria, Musolesi Mirco",0302-9743,Discovery Science Conference,19-21 October,,403-418,NO,YES,"4,5"
9,6,GM2020,TRUE,TRUE,Data-Agnostic Local Neighborhood Generation,"Synthetic data generation has been widely adopted in software testing, data privacy, imbalanced learning, machine learning explanation, etc. In such contexts, it is important to generate data samples located within “local” areas surrounding specific instances. Local synthetic data can help the learning phase of predictive models, and it is fundamental for methods explaining the local behavior of obscure classifiers. The contribution of this paper is twofold. First, we introduce a method based on generative operators allowing the synthetic neighborhood generation by applying specific perturbations on a given input instance. The key factor consists in performing a data transformation that makes applicable to any type of data, i.e., data-agnostic. Second, we design a framework for evaluating the goodness of local synthetic neighborhoods exploiting both supervised and unsupervised methodologies. A deep experimentation shows the effectiveness of the proposed method.",https://ieeexplore.ieee.org/document/9338395,10.1109/ICDM50108.2020.00122,2020,conference proceedings,"ack ok, no OA",TRUE,NO,,,2020 IEEE International Conference on Data Mining (ICDM),IEEE,"Guidotti Riccardo, Monreale Anna",2374-8486,2020 IEEE International Conference on Data Mining (ICDM),2020,,,,,1
10,7,RGG2020,,FALSE,Opening the black box: a primer for anti-discrimination,"The pervasive adoption of Artificial Intelligence (AI) models in the modern information society, requires counterbalancing the growing decision power demanded to AI models with risk assessment methodologies. In this paper, we consider the risk of discriminatory decisions and review approaches for discovering discrimination and for designing fair AI models. We highlight the tight relations between discrimination discovery and explainable AI, with the latter being a more general approach for understanding the behavior of black boxes.",https://hdl.handle.net/11568/1088440,,2020,journal-article,preprint e basta?,,NO,,,,,"Ruggieri Salvatore, Giannotti Fosca, Guidotti Riccardo, Monreale Anna, Pedreschi Dino, Turini Franco",,ANNUARIO DI DIRITTO COMPARATO E DI STUDI LEGISLATIVI,,Italy,,,,1
11,38,SMM2022,TRUE,FALSE,TriplEx: Triple Extraction for Explanation,"Transformer-based models are used to solve a variety of Natural Language Processing tasks. Still, these models are opaque and poorly understandable for their users. Current approaches to explainability focus on token importance, in which the explanation consists of a set of tokens relevant to the prediction, and natural language explanations, in which the explanation is a generated piece of text. The latter are usually learned by design with models trained end-to-end to provide a prediction and an explanation, or rely on powerful external text generators to do the heavy lifting for them. In this paper we present TriplEX, an explainability algorithm for Transformer-based models fine-tuned on Natural Language Inference, Semantic Text Similarity, or Text Classification tasks. TriplEX explains Transformers-based models by extracting a set of facts from the input data, subsuming it by abstraction, and generating a set of weighted triples as explanation.",10.1109/CogMI52975.2021.00015,10.1109/CogMI52975.2021.00015,2022,proceedings-article,"ack ok, no OA",TRUE,NO,,,Third Conference on Cognitive Machine Intelligence (COGMI) 2021,,"Setzu Mattia, Monreale Anna, Minervini Pasquale",,,2022,,,,,"1,2"
13,36,GMP2021,TRUE,FALSE,Explainable AI Within the Digital Transformation and Cyber Physical Systems: XAI Methods and Applications,"This book presents Explainable Artificial Intelligence (XAI), which aims at producing explainable models that enable human users to understand and appropriately trust the obtained results. The authors discuss the challenges involved in making machine learning-based AI explainable. Firstly, that the explanations must be adapted to different stakeholders (end-users, policy makers, industries, utilities etc.) with different levels of technical knowledge (managers, engineers, technicians, etc.) in different application domains. Secondly, that it is important to develop an evaluation framework and standards in order to measure the effectiveness of the provided explanations at the human and the technical levels. This book gathers research contributions aiming at the development and/or the use of XAI techniques in order to address the aforementioned challenges in different applications such as healthcare, finance, cybersecurity, and document summarization. It allows highlighting the benefits and requirements of using explainable models in different application domains in order to provide guidance to readers to select the most adapted models to their specified problem and conditions. Includes recent developments of the use of Explainable Artificial Intelligence (XAI) in order to address the challenges of digital transition and cyber-physical systems; Provides a textual scientific description of the use of XAI in order to address the challenges of digital transition and cyber-physical systems; Presents examples and case studies in order to increase transparency and understanding of the methodological concepts.",https://doi.org/10.1007/978-3-030-76409-8,10.1007/978-3-030-76409-8,2021,book-chapter,"ack ok, no OA",TRUE,NO,,,Explainable AI Within the Digital Transformation and Cyber Physical Systems (pp. 9-31),Springer International Publishing,"Guidotti Riccardo, Monreale Anna, Pedreschi Dino, Giannotti Fosca",,,2021,,9-31,,,"1,5"
16,25,RAB2021,TRUE,TRUE,Occlusion-Based Explanations in Deep Recurrent Models for Biomedical Signals,"The biomedical field is characterized by an ever-increasing production of sequential data, which often come in the form of biosignals capturing the time-evolution of physiological processes, such as blood pressure and brain activity. This has motivated a large body of research dealing with the development of machine learning techniques for the predictive analysis of such biosignals. Unfortunately, in high-stakes decision making, such as clinical diagnosis, the opacity of machine learning models becomes a crucial aspect to be addressed in order to increase the trust and adoption of AI technology. In this paper, we propose a model agnostic explanation method, based on occlusion, that enables the learning of the input’s influence on the model predictions. We specifically target problems involving the predictive analysis of time-series data and the models that are typically used to deal with data of such nature, i.e., recurrent neural networks. Our approach is able to provide two different kinds of explanations: one suitable for technical experts, who need to verify the quality and correctness of machine learning models, and one suited to physicians, who need to understand the rationale underlying the prediction to make aware decisions. A wide experimentation on different physiological data demonstrates the effectiveness of our approach both in classification and regression tasks.",https://dx.doi.org/10.3390/e23081064,10.3390/e23081064,2021,journal-article,"ack ok, OA ok",TRUE,Gold,,,Entropy,MDPI AG,"Resta Michele, Monreale Anna, Bacciu Davide",1099-4300,Entropy,17 August 2021,,,,,4
